7000|(0, 0, 0, 1000, 0, 0)|3680|(400, 0, 0, 400, 100, 100)|(400, 0, 0, 600, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7600
6500|(0, 0, 0, 1000, 0, 0)|3696|(400, 100, 0, 400, 0, 100)|(500, 0, 0, 500, 0, 0)|5000.519480519481|(0, 0, 0, 1000, 0, 0)|7500
6500|(0, 0, 0, 1000, 0, 0)|3694|(400, 100, 0, 400, 0, 100)|(400, 0, 0, 600, 0, 0)|5002.961038961039|(0, 0, 0, 1000, 0, 0)|7600
6500|(0, 0, 0, 1000, 0, 0)|3689|(400, 100, 0, 400, 0, 100)|(600, 0, 0, 400, 0, 0)|5000.715784215784|(0, 0, 0, 1000, 0, 0)|7400
6700|(1000, 0, 0, 0, 0, 0)|3690|(300, 300, 0, 400, 0, 0)|(800, 0, 0, 200, 0, 0)|5000.045954045954|(0, 0, 0, 1000, 0, 0)|7200
6700|(1000, 0, 0, 0, 0, 0)|3730|(300, 300, 0, 400, 0, 0)|(700, 0, 0, 300, 0, 0)|5001.400599400599|(0, 0, 0, 1000, 0, 0)|7300
6800|(0, 0, 0, 1000, 0, 0)|3695|(400, 100, 0, 500, 0, 0)|(500, 0, 0, 500, 0, 0)|5002.084415584415|(0, 0, 0, 1000, 0, 0)|7500
6800|(0, 0, 0, 1000, 0, 0)|3696|(400, 100, 0, 500, 0, 0)|(500, 0, 0, 500, 0, 0)|5003.356643356643|(0, 0, 0, 1000, 0, 0)|7500
6500|(0, 0, 0, 1000, 0, 0)|3690|(400, 100, 0, 400, 0, 100)|(600, 0, 0, 400, 0, 0)|5000.778721278722|(0, 0, 0, 1000, 0, 0)|7400
6700|(1000, 0, 0, 0, 0, 0)|3711|(300, 300, 0, 400, 0, 0)|(100, 0, 0, 900, 0, 0)|5000.132867132867|(0, 0, 0, 1000, 0, 0)|7900
6700|(1000, 0, 0, 0, 0, 0)|3705|(300, 300, 0, 400, 0, 0)|(900, 0, 0, 100, 0, 0)|5001.4125874125875|(0, 0, 0, 200, 0, 800)|7207
7300|(0, 0, 0, 1000, 0, 0)|3695|(400, 0, 0, 500, 0, 100)|(400, 0, 0, 600, 0, 0)|5002.249250749251|(0, 0, 0, 1000, 0, 0)|7600
6700|(1000, 0, 0, 0, 0, 0)|3683|(300, 300, 0, 400, 0, 0)|(500, 0, 0, 500, 0, 0)|5001.79020979021|(0, 0, 0, 1000, 0, 0)|7500
